ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,393,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,394,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,394-子,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,397-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,397-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,398,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,410,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,410-子,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,411-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,411-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,412-丑,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,412-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,412-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,412-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,無地番-5,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,道-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,道-27,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,水-21,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,水-78,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,407-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,407-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,415-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,415-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,415-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,416-子,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,417-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,417-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,418-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,418-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,419-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,419-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,419-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,420,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,421,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,422,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,423,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,424,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,425-子,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,425-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,425-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,426,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,426-子,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,427,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,428-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,428-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,428-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,429,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,430-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,430-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,432-子V1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,432-子V2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,432-寅,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,433,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,434-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,434-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,435,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,436-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,436-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,437,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,無地番-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,道-8,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,道-58,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,道-75,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,道-77,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,道-87,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,道-98,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,水-45,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,水-59,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,156-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,156-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,156-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,157-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,157-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,158-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,158-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,159,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,160,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,162-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,162-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,163-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,163-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,163-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,163-4,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,163-5,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,164-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,164-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,164-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,164-4,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,164-5,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,165-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,165-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,166-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,166-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,166-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,166-4,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,166-5,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,167-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,167-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,167-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,道-44,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,道-105,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,168-1,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,168-2,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,168-3,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,168-4,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,168-5,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,168-6,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,168-7,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,168-8,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,168-9,,
15461-1106-1.zip,202202031440,南魚沼郡湯沢町大字三国,168-10,,
